time	V(n003)
Step Information: Temp=-10  (Step: 1/5)
2.932871115009727e-03	-2.171396e+00
2.939117530522456e-03	-1.494534e+00
2.947262005289235e-03	-3.745185e-01
2.955633597495966e-03	6.928490e-01
2.965633597495966e-03	1.529694e+00
2.972684807445166e-03	1.771273e+00
2.975634360872952e-03	1.785902e+00
2.977532836037728e-03	1.768485e+00
2.980617554827383e-03	1.695242e+00
2.985574336216910e-03	1.459864e+00
2.993240245395685e-03	8.160864e-01
3.003240245395685e-03	-4.423296e-01
3.013240245395685e-03	-1.778701e+00
3.021474902464409e-03	-2.444412e+00
3.025171721631888e-03	-2.516228e+00
3.026779615421886e-03	-2.498111e+00
3.029395452166641e-03	-2.406128e+00
3.033622222427913e-03	-2.105448e+00
3.040278586188799e-03	-1.343528e+00
3.048238297364343e-03	-2.392275e-01
3.056974748904096e-03	8.369784e-01
3.066974748904096e-03	1.598189e+00
3.073306182822373e-03	1.778591e+00
3.075868431643093e-03	1.784908e+00
3.077913812610703e-03	1.762453e+00
3.081234404608325e-03	1.673967e+00
3.086552184117456e-03	1.396443e+00
3.094689862006639e-03	6.585209e-01
3.104689862006639e-03	-6.459352e-01
3.114689862006639e-03	-1.937938e+00
3.122224238062076e-03	-2.471539e+00
3.125459472477626e-03	-2.515148e+00
3.127248127449268e-03	-2.487249e+00
3.130155974938318e-03	-2.365199e+00
3.134839200382968e-03	-1.988455e+00
3.142135016580271e-03	-1.092437e+00
3.149985312344608e-03	-2.179060e-03
3.159302949486610e-03	1.064828e+00
3.169142711359962e-03	1.686481e+00
3.174240438635414e-03	1.785360e+00
3.176217503970524e-03	1.783004e+00
3.178481738390455e-03	1.751896e+00
3.182151971596883e-03	1.637694e+00
3.187995967927114e-03	1.292622e+00
3.196783919717899e-03	4.132403e-01
3.206783919717899e-03	-9.400268e-01
3.216783919717899e-03	-2.139875e+00
3.223219982552665e-03	-2.497778e+00
3.225836070319627e-03	-2.512313e+00
3.227861147216727e-03	-2.469264e+00
3.231149191688132e-03	-2.302682e+00
3.236417431358021e-03	-1.819749e+00
3.244491545872787e-03	-7.635315e-01
3.252329159334721e-03	3.016648e-01
3.262329159334721e-03	1.315998e+00
3.270975720822869e-03	1.739576e+00
3.274977392586309e-03	1.787105e+00
3.276491597238486e-03	1.780724e+00
3.278927424061086e-03	1.742286e+00
3.282870129055060e-03	1.606113e+00
3.289115999293320e-03	1.203792e+00
3.298367384988836e-03	2.153995e-01
3.308367384988836e-03	-1.158836e+00
3.318367384988836e-03	-2.267168e+00
3.323915196558676e-03	-2.509359e+00
3.326096271019496e-03	-2.509386e+00
3.328284533864022e-03	-2.454363e+00
3.331833649464859e-03	-2.253811e+00
3.337496637989388e-03	-1.694678e+00
3.345962250155439e-03	-5.564285e-01
3.353886733249628e-03	4.921226e-01
3.363886733249629e-03	1.424745e+00
3.371815646839646e-03	1.757324e+00
3.375303112530917e-03	1.786881e+00
3.376993552237888e-03	1.775648e+00
3.379742865167676e-03	1.721726e+00
3.384178983354904e-03	1.540736e+00
3.391131862380200e-03	1.025982e+00
3.401119245434390e-03	-1.489367e-01
3.411119245434390e-03	-1.522076e+00
3.419251851356874e-03	-2.327810e+00
3.424285511623127e-03	-2.513175e+00
3.426234287135036e-03	-2.507558e+00
3.428509035461506e-03	-2.445577e+00
3.432196007947429e-03	-2.226136e+00
3.438064909515707e-03	-1.625963e+00
3.446447922236524e-03	-4.882387e-01
3.454502391675326e-03	5.645818e-01
3.464502391675326e-03	1.463782e+00
3.472130274749912e-03	1.762971e+00
3.475423621841073e-03	1.786603e+00
3.477189759866469e-03	1.773326e+00
3.480061289794707e-03	1.712607e+00
3.484688061458619e-03	1.512645e+00
3.491906230474337e-03	9.516668e-01
3.501906230474337e-03	-2.567558e-01
3.511906230474337e-03	-1.620130e+00
3.519808631000599e-03	-2.361826e+00
3.524512930496198e-03	-2.514790e+00
3.526318917522770e-03	-2.506244e+00
3.528646669659860e-03	-2.439971e+00
3.532417944039413e-03	-2.208488e+00
3.538411851028266e-03	-1.583205e+00
3.546688336077616e-03	-4.544785e-01
3.554858384546162e-03	6.056286e-01
3.564858384546162e-03	1.485418e+00
3.572307989454794e-03	1.765844e+00
3.575491375829925e-03	1.786485e+00
3.577300067322800e-03	1.771862e+00
3.580240217007540e-03	1.707298e+00
3.584973575146928e-03	1.496166e+00
3.592337987283304e-03	9.089026e-01
3.602337987283304e-03	-3.164741e-01
3.612337987283304e-03	-1.672467e+00
3.620980667844540e-03	-2.422896e+00
3.624979330017645e-03	-2.516168e+00
3.626492317346938e-03	-2.503307e+00
3.628928594640460e-03	-2.427781e+00
3.632872012844234e-03	-2.171085e+00
3.639118924881423e-03	-1.494137e+00
3.647264200630768e-03	-3.740235e-01
3.655636248114870e-03	6.933033e-01
3.665636248114870e-03	1.529976e+00
3.672686072730557e-03	1.771420e+00
3.675634839548161e-03	1.786028e+00
3.677533615234389e-03	1.768604e+00
3.680618817419216e-03	1.695332e+00
3.685576343202652e-03	1.459878e+00
3.693243245117889e-03	8.159277e-01
3.703243245117889e-03	-4.425577e-01
3.713243245117889e-03	-1.778820e+00
3.721476508802044e-03	-2.444234e+00
3.725172343322061e-03	-2.515983e+00
3.726780627708697e-03	-2.497847e+00
3.729397096517722e-03	-2.405806e+00
3.733624860789129e-03	-2.104974e+00
3.740282644835754e-03	-1.342777e+00
3.748242517049952e-03	-2.384604e-01
3.756980476056346e-03	8.377302e-01
3.766980476056346e-03	1.598594e+00
3.773308759047839e-03	1.778746e+00
3.775869398322787e-03	1.785033e+00
3.777915385768181e-03	1.762556e+00
3.781236949681603e-03	1.674007e+00
3.786556207132044e-03	1.396310e+00
3.794695775399733e-03	6.580182e-01
3.804695775399733e-03	-6.465715e-01
3.814695775399733e-03	-1.938328e+00
3.822227188265470e-03	-2.471391e+00
3.825460597104376e-03	-2.514898e+00
3.827249958404676e-03	-2.486959e+00
3.830158944849667e-03	-2.364787e+00
3.834843939221885e-03	-1.987745e+00
3.842142181569504e-03	-1.091242e+00
3.849992930241942e-03	-9.836159e-04
3.859313003397042e-03	1.065898e+00
3.869149277851153e-03	1.686837e+00
3.874243155239318e-03	1.785501e+00
3.876218515618389e-03	1.783125e+00
3.878483383814926e-03	1.751992e+00
3.882154626220076e-03	1.637716e+00
3.888000124845253e-03	1.292449e+00
3.896789864816889e-03	4.126841e-01
3.906789864816888e-03	-9.406520e-01
3.916789864816888e-03	-2.140162e+00
3.923222678670415e-03	-2.497591e+00
3.925837082984491e-03	-2.512060e+00
3.927862795278897e-03	-2.468967e+00
3.931151858561123e-03	-2.302263e+00
3.936421650303414e-03	-1.819048e+00
3.944497762080615e-03	-7.624572e-01
3.952335956357282e-03	3.026887e-01
3.962335956357282e-03	1.316645e+00
3.970979529945242e-03	1.739796e+00
3.974978884396806e-03	1.787234e+00
3.976492151717688e-03	1.780848e+00
3.978928325400374e-03	1.742395e+00
3.982871579562903e-03	1.606180e+00
3.989118251986796e-03	1.203752e+00
3.998370531847736e-03	2.151704e-01
4.008370531847736e-03	-1.159056e+00
4.018370531847735e-03	-2.267160e+00
4.023916535332699e-03	-2.509133e+00
4.026096770567802e-03	-2.509136e+00
4.028285346543141e-03	-2.454091e+00
4.031834961927523e-03	-2.253476e+00
4.037498700227736e-03	-1.694209e+00
4.045964457016054e-03	-5.559238e-01
4.053889814242611e-03	4.926547e-01
4.063889814242611e-03	1.425085e+00
4.071817244937433e-03	1.757483e+00
4.075303726535395e-03	1.787009e+00
4.076994551962652e-03	1.775766e+00
4.079744488114298e-03	1.721812e+00
4.084181581068939e-03	1.540732e+00
4.091135828204519e-03	1.025761e+00
4.101124528692151e-03	-1.494733e-01
4.111124528692151e-03	-1.522525e+00
